,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
795,2021-01-29,EMCA,6.08,"93,197,108","567,035,268","1,543,161,717",3.98,3.30%
796,2021-01-29,IUAA,5.86,"372,700,949","2,185,557,766","3,593,622,848",2.06,1.07%
797,2021-01-30,EIMI,36.69,"499,688,604","18,333,718,748","18,966,038,270",1.63,-
798,2021-01-30,IWDA,72.53,"404,060,005","29,305,572,136","30,659,878,366",1.32,-
799,2021-01-30,DPYA,5.27,"24,273,673","127,886,467","2,188,817,239",2.90,-
800,2021-01-30,LQDA,6.44,"332,791,641","2,144,444,024","8,814,294,701",2.82,2.03%
801,2021-01-30,EMCA,6.08,"93,497,108","568,533,784","1,549,618,490",3.98,3.32%
802,2021-01-30,IUAA,5.86,"370,985,949","2,173,338,826","3,580,005,570",2.06,1.09%
803,2021-01-31,EIMI,36.69,"499,688,604","18,333,718,748","18,966,038,270",1.63,-
804,2021-02-01,EIMI,36.69,"499,688,604","18,333,718,748","18,966,038,270",1.63,-
805,2021-02-01,IWDA,72.53,"404,060,005","29,305,572,136","30,659,878,366",1.32,-
806,2021-02-01,DPYA,5.27,"24,273,673","127,886,467","2,188,817,239",2.90,-
807,2021-02-01,LQDA,6.44,"332,791,641","2,144,444,024","8,814,294,701",2.82,2.06%
808,2021-02-01,EMCA,6.08,"93,497,108","568,533,784","1,549,618,490",3.98,3.35%
809,2021-02-01,IUAA,5.86,"370,985,949","2,173,338,826","3,580,005,570",2.06,1.11%
